sha256,label,parse_ok,file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page
26621199f0a4f6146f384ab8a8d9801bfadc9e54343832a5f8cc90b834252090,benign,1,17719,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74b47dee98213902a63b6e8d52142228f0470877e1cec5be03290584a407673a,benign,1,35137,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87e24c4befb1612934e4e95b8e12fd623e77357d3a95f8a95227836a1d391bd8,benign,1,27754,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cb95689edfa595c808ba8472198f2a405678287655b69fa20381dc6203784ab4,benign,1,51377,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
a9951b93a1a195c2e3c04ace866bfbaff841f007e72c5c084e301a7fd145e4b4,benign,1,23036,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
591d0030a0f4ef4078e39fba85ed2e283f5adb32f1ff3881d17fe66ee950fdaf,benign,1,53946,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ab52d758fb0efca74133b04c22aa7d1753ed7c4e2df25aa8ab8caca1dd3f474f,benign,1,30011,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
b5652ce02ac32cfdba49d95c92d67fd9b18767b2e1bd8a25382afeb03171d03e,benign,1,35581,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14c01b8fc50afc9bed379dc17d140739a43ed8082c234f2780a16abb606350aa,benign,1,23173,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40d1716ffe5e2d1df906bca9a916a9542b1816261d4a8a72bb2c03cd894c69dd,benign,1,31106,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8434c2210788004601c34a50553ce6d08fdf2cb7b232654b6bfa093969c5ce1d,benign,1,20349,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7f02469f446b25204abcc9b82582fbe2e08c31e8bcea8cda1594cf81697954ab,benign,1,15307,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
